Name,Regular Price,Offer Price,Description,Calories,Veg/Non-Veg
Original Whopper Veg,189,,"Our Original Whopper with Crunchy Veg Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 285 Gms| Kcal: 681.2 | Carbs 97.1 Gms| Sugar: 23.1 Gms| Fat: 25.4 Gms| Saturated fat: 9.8 Gms| Protein: 15.8 Gms| Sodium: 987.8 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",N/A,Veg
Original Whopper Veg,189,,"Our Original Whopper with Crunchy Veg Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 285 Gms| Kcal: 681.2 | Carbs 97.1 Gms| Sugar: 23.1 Gms| Fat: 25.4 Gms| Saturated fat: 9.8 Gms| Protein: 15.8 Gms| Sodium: 987.8 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",N/A,Veg
Original Whopper Chicken,209,,"Our Original Whopper with Flame Grilled Chicken Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 280 Gms| Kcal: 667.2 | Carbs 59.1 Gms| Sugar: 8.7 Gms| Fat: 36.3 Gms| Saturated fat: 8.1 Gms| Protein: 26.2 Gms| Sodium: 1018.7 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",N/A,Non-Veg
Original Whopper Chicken,209,,"Our Original Whopper with Flame Grilled Chicken Patty, Onions, Lettuce, Tomatoes (Seasonal), Gherkins, Creamy And Smoky Sauces With Xxl Buns. Qty: 280 Gms| Kcal: 667.2 | Carbs 59.1 Gms| Sugar: 8.7 Gms| Fat: 36.3 Gms| Saturated fat: 8.1 Gms| Protein: 26.2 Gms| Sodium: 1018.7 Mg Contains: Gluten, Soybean, Milk, Sesame seeds",N/A,Non-Veg
BK Veg Pizza Puff,45,,"Crispy savoury pastry with a filling of tomato sauce with corn, carrots, bell peppers, peas and mozzarella. Caution: Served Hot.",N/A,Veg
BK Veg Pizza Puff,45,,"Crispy savoury pastry with a filling of tomato sauce with corn, carrots, bell peppers, peas and mozzarella. Caution: Served Hot.",N/A,Veg
Peri Peri Fries (Medium),129,,Cripsy fries with peri peri spice. Hot indeed.,N/A,Veg
Peri Peri Fries (Medium),129,,Cripsy fries with peri peri spice. Hot indeed.,N/A,Veg
(4Pcs) Crunchy Chicken Nuggets,89,,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection,N/A,Non-Veg
(4Pcs) Crunchy Chicken Nuggets,89,,Tender Juicy Crunchy Chicken Nuggets fried to golden brown perfection,N/A,Non-Veg
Chocolate Thick Shake,189,,Our signature chocolate thick shake.,N/A,Veg
Chocolate Thick Shake,189,,Our signature chocolate thick shake.,N/A,Veg
